126:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 3.03s	remaining: 1.74s
127:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.05s	remaining: 1.72s
128:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 3.08s	remaining: 1.69s
129:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 3.1s	remaining: 1.67s
130:	learn: 1.0000000	test: 0.6875000	best: 0.7000000 (26)	total: 3.12s	remaining: 1.64s
131:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.14s	remaining: 1.62s
132:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.16s	remaining: 1.59s
133:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.19s	remaining: 1.57s
134:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.21s	remaining: 1.54s
135:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.23s	remaining: 1.52s
136:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.25s	remaining: 1.49s
137:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.27s	remaining: 1.47s
138:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.29s	remaining: 1.44s
139:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.31s	remaining: 1.42s
140:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.33s	remaining: 1.39s
141:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.35s	remaining: 1.37s
142:	learn: 1.0000000	test: 0.6750000	best: 0.7000000 (26)	total: 3.37s	remaining: 1.34s
143:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.39s	remaining: 1.32s
144:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.42s	remaining: 1.29s
145:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.44s	remaining: 1.27s
146:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.46s	remaining: 1.25s
147:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.48s	remaining: 1.22s
148:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.5s	remaining: 1.2s
149:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.52s	remaining: 1.17s
150:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.54s	remaining: 1.15s
151:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.56s	remaining: 1.13s
152:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.58s	remaining: 1.1s
153:	learn: 1.0000000	test: 0.6500000	best: 0.7000000 (26)	total: 3.61s	remaining: 1.08s
154:	learn: 1.0000000	test: 0.6500000	best: 0.7000000 (26)	total: 3.63s	remaining: 1.05s
155:	learn: 1.0000000	test: 0.6500000	best: 0.7000000 (26)	total: 3.65s	remaining: 1.03s
156:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.67s	remaining: 1.01s
157:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.69s	remaining: 982ms
158:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.72s	remaining: 958ms
159:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.74s	remaining: 935ms
160:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.76s	remaining: 912ms
161:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.78s	remaining: 888ms
162:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.81s	remaining: 864ms
163:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.83s	remaining: 840ms
164:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.85s	remaining: 817ms
165:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.87s	remaining: 793ms
166:	learn: 1.0000000	test: 0.6625000	best: 0.7000000 (26)	total: 3.9s	remaining: 770ms
